timestamp,alarm_frontend_cpu__frontend,alarm_frontend_probe_duration,alarm_frontend_probe_success,cpu__adservice,cpu__cartservice,cpu__checkoutservice,cpu__currencyservice,cpu__emailservice,cpu__frontend,cpu__loadgenerator,cpu__paymentservice,cpu__productcatalogservice,cpu__recommendationservice,cpu__redis-cart,cpu__shippingservice,fs_reads__frontend,fs_reads__productcatalogservice,fs_reads__redis-cart,fs_reads__shippingservice,fs_writes__frontend,fs_writes__productcatalogservice,fs_writes__redis-cart,fs_writes__shippingservice,memory__adservice,memory__cartservice,memory__checkoutservice,memory__currencyservice,memory__emailservice,memory__frontend,memory__loadgenerator,memory__paymentservice,memory__productcatalogservice,memory__recommendationservice,memory__redis-cart,memory__shippingservice,restart__adservice__server,restart__cartservice__server,restart__checkoutservice__server,restart__currencyservice__server,restart__emailservice__server,restart__frontend__server,restart__loadgenerator__main,restart__paymentservice__server,restart__productcatalogservice__server,restart__recommendationservice__server,restart__redis-cart__redis,restart__shippingservice__server,running__adservice,running__cartservice,running__checkoutservice,running__currencyservice,running__emailservice,running__frontend,running__loadgenerator,running__paymentservice,running__productcatalogservice,running__recommendationservice,running__redis-cart,running__shippingservice
1780600784,0.015231415059815763,0.094191458,1,0.002475588160890481,0.00957554838207839,0.0012300276570525286,0.010950159885323585,0.0021894338632437176,0.015231415059815763,0.00393212910081012,0.0006828087167070222,0.00876668758144708,0.00639263141321221,0.002375769534333036,0.0011595901247286654,0,0,0,0,0,0,0,0,92209152,52887552,9424896,96997376,43446272,15216640,50610176,26583040,9576448,42729472,5955584,8761344,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600799,0.018066085629604083,0.104535015,1,0.0017478408928137369,0.00955439769811022,0.001149543816606617,0.00864572085817564,0.0021074428324559017,0.018066085629604083,0.003932129100810119,0.0006506637348318253,0.008030435379127643,0.006032096159231141,0.002255109420619815,0.0013035205364627252,0,0,0,0,0,0,0,0,92213248,52850688,9424896,96436224,43446272,15376384,50610176,26583040,9682944,42463232,5693440,8761344,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600814,0.017779858198521886,0.017422367,1,0.002132278202760896,0.00913407638579284,0.001281718678196929,0.008382972853674668,0.0021577741058578445,0.017779858198521886,0.0038817564821588295,0.0006457926003910365,0.007762093594394206,0.005853881835937366,0.0022845565444877484,0.0013692520694023335,0,0,0,0,0,0,0,0,92205056,52850688,9449472,97165312,43446272,15056896,50622464,26140672,9682944,42463232,5693440,8761344,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600829,0.05865150699677081,0.035525763,1,0.0017918156671277692,0.008850200499144723,0.0010717068244120605,0.007928996862258772,0.0021684993193004307,0.05865150699677081,0.0035961175347406144,0.0006904206982602322,0.007343487918763129,0.0057198641416218695,0.002351360174102298,0.0014733816107087713,0,0,0,0,0,0,89.14036996735581,0,92205056,52850688,9449472,96858112,43446272,19152896,50626560,26337280,9682944,42475520,5693440,8847360,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600844,0.104603386050284,0.078057751,1,0.002137138009309142,0.00800795714349772,0.0008460564272145288,0.009095305832147965,0.0019766318444661315,0.104603386050284,0.0021439066357406005,0.00045585474479377917,0.007660872190829193,0.00581546709250622,0.002329293513309139,0.0013160895600103798,0,0,0,0,0,0,91.08496964575596,0,92323840,52887552,9449472,97308672,43446272,19222528,50626560,26533888,9531392,42475520,5955584,8847360,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600859,0.16991252490969114,0.123193339,1,0.0018693004452177758,0.00531467499999998,0.0006432912125012093,0.008056264044943593,0.001806580843735559,0.16991252490969114,0.0032577059802907458,0.0005809099923898213,0.006951176500226715,0.005386392573558299,0.0022193614830072145,0.0007546128149100586,0,0,0,0,0,0,98.10073527650708,0,92323840,52887552,9449472,97308672,43446272,19267584,50630656,26775552,9535488,42475520,5697536,8978432,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600874,0.19977209169180624,0.078718314,1,0.002056377417668557,0.007717574969826388,0.0009862159579550876,0.008507155752073541,0.0018896148431577912,0.19977209169180624,0.0034621220048132884,0.00048454105116032723,0.007050011356831671,0.005073085349052534,0.0020950809366650724,0.0010997517873432988,0,0,0,0,0,0,0,0,92323840,52858880,9449472,97378304,43446272,19746816,50634752,26955776,9625600,42475520,5693440,9011200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600889,0.1579039132761955,0.084858186,1,0.002106799470320747,0.007339444384390741,0.0014801060396496008,0.009057746351192126,0.001935305450251685,0.1579039132761955,0.0013483333333333292,0.0006957052500587906,0.007679210555493964,0.005388322484510827,0.002136998999829249,0.0010912677317366892,0,0,0,0,0,0,0,0,92332032,52862976,9449472,97759232,43446272,19746816,50634752,27205632,9736192,42475520,5693440,9011200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600904,0.19973278518062085,0.22455303,1,0.002152780956740612,0.007164997202014286,0.0013278790478233194,0.010109075334316688,0.0020166108876538847,0.19973278518062085,0.00396712814885723,0.0007805326543808639,0.007579173769971886,0.005385191151624768,0.002121599617897971,0.0010303616708928162,0,0,0,0,0,0,0,0,92323840,52858880,9449472,97669120,43446272,19574784,50651136,26710016,9900032,42475520,5693440,9011200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780600919,0.19987768688934332,0.037598697,1,0.0021892310552079773,0.008254380599431456,0.0013356167381598759,0.010109075334316688,0.0019839705079192386,0.19987768688934332,0.003924327286009928,0.0007892928500737566,0.00816478931096389,0.005839075669167377,0.0022444813143678508,0.000980530778548609,0,0,0,0,0,0,0,0,92327936,52895744,9449472,97669120,43446272,19603456,50655232,26927104,9641984,42475520,5955584,9011200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
